Symbol
AMZN
BABA
BABAF
TSLA
HD
LVMUY
LVMHF
TM
TOYOF
MPNGY
MPNGF
NKE
MCD
LOW
JD
JDCMF
SBUX
PDD
IDEXF
HESAY
HESAF
IDEXY
VWAGY
VWAPY
PPRUY
PPRUF
VLKAF
VLKPF
CHDRF
AUDVF
BKNG
TJX
ADDDF
ADDYY
FRCOY
FRCOF
VNJA
DMLRY
DDAIF
MELI
BMWYY
BAMXF
OLCLY
OLCLF
GM
BYDDY
BYDDF
HMC
HNDAF
CFRHF
CFRUY
LULU
LVS
WFAFY
HYMTF
RACE
SCHYF
SCHYY
ORLY
EBAY
CMG
DNZOY
HMRZF
HNNMY
GXYEF
DNZOF
ROST
GXYYY
MAR
YAHOF
CMPGF
YAHOY
CMPGY
F
ANPDF
AZO
VFC
CVNA
NWAU
EBAYL
ANPDY
YUM
W
BBY
BLL
DHI
PTON
SHZHY
HLT
FCAU
PDYPY
PDYPF
LEN
LEN-B
APTV
NIO
NCLTY
ZLNDY
NCLTF
AONNY
CHWY
YUMC
CTTAY
BRDCY
GWLLY
GWLLF
CTTAF
MGDDF
GELYY
MGDDY
GELYF
KNRRY
SZKMF
DKNG
SZKMY
RSTRF
TYIDY
TYIDF
PEUGF
POAHF
POAHY
SMNNY
SHMDF
AMCR
TCOM
ROL
QSR
KMX
IP
PUGOY
TSCO
DPZ
FUJHY
FUJHF
RKUNY
ZHSHF
RKUNF
NVR
NCBDY
GPC
NSANF
GNZUF
NSANY
LI
ETSY
TIF
RCL
BURL
MGA
EXXRF
PMMAF
PTAIF
XPEV
CCL
PUMSY
CJEWY
EXPE
LNNGF
PTAIY
ULTA
NKLA
SKHSY
JDSPY
SKHSF
HTHT
EVVTY
MONRF
SWGAY
SWGAF
POOL
PHM
SWGNF
DRI
FBHS
VIPS
LNNGY
HAS
MGM
WHR
MAHMF
PKG
AAP
NXGPY
PSMMF
PRDSY
PSMMY
CCK
